hello	int.你好;喂	[hə'ləʊ]
Thanksgiving	n.感恩节	[ˌθæŋks'gɪvɪŋ]
traditional	adj.传统的;惯例的	[trə'dɪʃənl]
prepare	v.使做好准备;把…准备好	[prɪ'peə]
until	conj.&prep.到…时;直到…为止	[ən'tɪl]
accept	v.接受	[ək'sept]
refuse	v.拒绝	[rɪ'fjuːz]
invitation	n.邀请;请柬	[ɪnvɪ'teɪʃ(ə)n]
reply	v.回答;答复	[rɪ'plaɪ]
delete	v.删除	[dɪ'liːt]
goodbye	int.&n.再见	[ˌgʊd'baɪ]
preparation	n.准备;准备工作	[prepə'reɪʃ(ə)n]
without	prep.没有;不(做某事)	[wɪ'ðaʊt]
surprised	adj.惊奇的;感到意外的	[sə'praɪzd]
event	n.大事;公开活动;比赛项目	[ɪ'vent]
upset	adj.难过;失望;沮丧	[ʌp'set]
advice	n.劝告;建议	[əd'vaɪs]
unless	conj.除非;如果不	[ən'les]
understanding	adj.善解人意的;体谅人的	[ʌndə'stændɪŋ]
mistake	n.错误;失误	[mɪ'steɪk]
himself	pron.他自己	[hɪm'self]
advise	v.劝告;建议	[əd'vaɪz]
What' s the matter?	怎么了?出什么事了?
take one' s temperature	量体温
herself	pron.(she的反身代词) 她自己	[hɜ:(r)'self]
ourselves	pron. (we的反身代词) 我们自己	[aʊə(r)'selvz]
importance	n. 重要性; 重要	[ɪm'pɔ:(r)tns]
decision	n. 决定; 抉择	[dɪ'sɪʒn]
control	n.&v. 限制; 约束; 管理	[kən'trəʊl]
volunteer	v. 义务做; 自愿做 n. 志愿者	[ˌvɒlən'tɪə] ,[ˌvɑ:lən'tɪr]
alone	adv. 独自; 单独	[ə'ləʊn]
repair	v. 修理; 修补	[rɪ'peə], [rɪ'per]
disabled	adj. 丧失能力的; 有残疾的	[dɪs'eɪbld]
imagine	v. 想象; 设想	[ɪ'mædʒɪn]
excited	adj. 激动的; 兴奋的	[ɪk'saɪtɪd]
understand	v. (understood [ʌndə(r)'stʊd] ) 理解; 领会	[ʌndə(r)'stænd]
provide	v. 提供; 供应	[prə'vaɪd]
depend	v. 依靠; 信赖	[dɪ'pend]
develop	v. 发展; 壮大	[dɪ'veləp]
independence	n. 独立	[ˌɪndɪ'pendəns]
independent	adj. 独立的; 自主的	[ˌɪndɪ'pendənt]
unfair	adj. 不合理的; 不公正的	[ˌʌn'feə], [ˌʌn'fer]
allow	v. 允许; 准许	[ə'laʊ]
What' s wrong?	哪儿不舒服?
relation	n. 关系; 联系; 交往	[rɪ'leɪʃn]
communication	n. 交流; 沟通	[kə,mju:nɪ'keɪʃn]
instead	adv. 代替; 反而; 却	[ɪn'sted]
whatever	pron. 任何; 每一	[wɒt'evə], [wɑ:t'evər]
communicate	v. 交流; 沟通	[kə'mju:nɪkeɪt]
explain	v. 解释; 说明	[ɪk'spleɪn]
return	v. 归还; 回来; 返回	[rɪ'tɜ:(r)n]
anymore	adv. （常用于否定句和疑问句末）再也（不）; （不）再	[ˌeni'mɔ:(r)]
compete	v. 竞争; 对抗	[kəm'pi:t]
opinion	n. 意见; 想法; 看法	[ə'pɪnjən]
continue	v. 持续; 继续存在	[kən'tɪnju:]
compare	v. 比较	[kəm'peə], [kəm'per]
development	n. 发展; 发育; 成长	[dɪ'veləpmənt]
in one' s opinion	依......看
perhaps	adv. 可能; 大概; 也许	[pə(r)'hæps]
alarm	n. 闹钟	[ə'lɑ:(r)m]
begin	v. (began [bɪ'gæn] ) 开始	[bɪ'gɪn]
report	v. & n. 报道; 公布	[rɪ'pɔ:(r)t]
against	prep. 倚; 碰; 撞	[ə'genst]
asleep	adj. 睡着	[ə'sli:p]
apart	adv. 分离; 分开	[ə'pɑ:(r)t]
make one' s way	前往; 费力地前进
completely	adv. 彻底地; 完全地	[kəm'pli:tli]
remind	v. 提醒; 使想起	[rɪ'maɪnd]
excite	v. 使激动; 使兴奋	[ɪk'saɪt]
population	n. 人口; 人口数量	[ˌpɒpju'leɪʃn]
amazing	adj. 令人大为惊奇的; 令人惊喜（或惊叹）的	[ə'meɪzɪŋ]
protect	v. 保护; 防护	[prə'tekt]
man-made	adj.人造的	 [ˌmæn'meɪd]
achievement	n. 成就; 成绩	[ə'tʃi:vmənt]
southwestern	adj. 西南的; 西南方向的	[ˌsaʊθ'westə(r)n]
include	v. 包括; 包含	[ɪn'klu:d]
condition	n. 条件; 状况	[kən'dɪʃn]
succeed	v. 实现目标; 成功	[sək'si:d]
achieve	v. 达到; 完成; 成功	[ə'tʃi:v]
bamboo	n. 竹子	[bæm'bu:]
endangered	adj. 濒危的	[ɪn'deɪndʒə(r)d]
research	n. & v. 研究; 调查（用作名词时, 重音可放在第一个音节）	[rɪ'sɜ:(r)tʃ]
awake	adj. 醒着	[ə'weɪk]
excitement	n. 激动; 兴奋	[ɪk'saɪtmənt]
protection	n. 保护; 保卫	[prə'tekʃn]
the Sahara	撒哈拉沙漠	[sə'hɑ:rə]
towards	prep. 朝; 向; 对着	[tə'wɔ:dz], [tɔ:rdz]
technology	n. 科技; 工艺	[tek'nɒlədʒi], [tek'nɑ:lədʒi]
forever	adv. 永远	[fər'evə(r)]
abroad	adv. 在国外; 到国外	[ə'brɔ:d]
success	n. 成功	[sək'ses]
belong	v. 属于; 归属	[bɪ'lɒŋ], [bɪ'lɔ:ŋ]
introduce	v. 介绍; 引见	[ˌɪntrə'dju:s], [ˌɪntrə'du:s]
Tennessee	田纳西州（美国）	[tenə'si:]
amusement	n. 娱乐; 游戏	[ə'mju:zmənt]
invention	n. 发明;发明物	[ɪn'venʃn]
invent	v. 发明; 创造	[ɪn'vent]
unbelievable	adj. 难以置信的; 不真实的	[ˌʌnbɪ'li:vəbl]
encourage	v. 鼓励	[ɪn'kʌrɪdʒ], [ɪn'kɜ:rɪdʒ]
performance	n. 表演; 演出	[pə(r)'fɔ:(r)məns]
itself	pron. (it的反身代词) 它自己	[ɪt'self]
collect	v. 收集; 采集	[kə'lekt]
Japanese	adj.日本的; 日本人的; 日语的 n. 日本人; 日语	[ˌdʒæpə'ni:z]
equator	n. 赤道	[ɪ'kweɪtə(r)]
whenever	conj. 在任何......时候; 无论何时	[wen'evə(r)]
location	n. 地点; 位置	[ləʊ'keɪʃn]
International Museum of Toile	国际厕所博物馆	[ˌɪntə(r)'næʃnəl]
the Terracotta Army	兵马俑	[ˌterə'kɒtə], [ˌterə'kɑ:tə]
the Bird' s Nest	鸟巢	[nest]
Singapore	新加坡	[ˌsɪŋə'pɔ:(r)]
Night Safari	夜间动物园	[sə'fɑ:ri]
among	prep.  在（其）中; ......之一	[ə'mʌŋ]
regard	v.将......认为; 把......视为	[rɪ'gɑ:(r)d]
according to	依据; 按照	[ə'kɔ:(r)dɪŋ]
especially	adv. 尤其; 特别; 格外	[ɪ'speʃəli]
consider	v. 注视; 仔细考虑	[kən'sɪdə(r)]
admire	v. 欣赏；仰慕	[əd'maɪə]
besides	除 …… 之外	[bɪ'saɪdz]
perform	v. 表演；演出	[pə'fɔːm]
Brazilian	adj. 巴西的；n. 巴西人	[brə'zɪlɪən]
conversation	n. 交谈；谈话	[ˌkɒnvə'seɪʃn]
relaxed	adj. 放松的	[rɪ'lækst]
uncomfortable	adj. 不舒服的；不安的	[ˌʌn'kʌmftəb(ə)l]
embarrassed	adj. 尴尬的；窘迫的	[ɪm'bærəst]
suggest	v. 建议：提议	[sə'dʒest]
attend	v. 出席；参加	[ə'tend]
introduction	n. 介绍	[ˌɪntrə'dʌkʃ(ə)n]
avoid	v. 避免：回避	[ə'vɒɪd]
exhibition	n. 展览	[ˌeksɪ'bɪʃn]
cathedral	总教堂；主教座堂：大教堂	[kə'θiːdrəl]
convenient	adj. 便利的；方便的	[kən'viːnɪənt]
translate	v. 翻译	[træns'leɪt]
suppose	推断：料想	[sə'pəʊz]
entertainment	n. 乐趣；欢乐	[ˌentə'teɪnmənt]
receive	v. 从接受；收到	[rɪ'siːv]
realistic	现实的；实际的	[rɪə'lɪstɪk]
conclusion	n. 结论	[kən'kluːʒ(ə)n]
idea	adj. 完美的：理想的；最合适的	[aɪ'di:ə]
aloud	大声地；出声地	[ə'laʊd]
expression	表达（方式）；表示	[ɪk'spreʃn]
discover	发现；发觉	[dɪ'skʌvə]
repeat	重复；重做	[rɪ'piːt]
pronounce	发音	[prə'naʊns]
increase	增加；增长	[ɪn'kriːs]
create	v.创造；创建	[kri'eɪt]
attention	注意；关注	[ə'tenʃ(ə)n]
connect	连接；与⋯⋯有联系	[kə'nekt]
review	回顾；复习	[rɪ'vjuː]
whoever	pron.无论谁；不管什么人[hu:'evə(r)]
dessert	n（饭后）甜点；甜食	[dɪ'zɜːt]
Mother's Day 	母亲节
Father's Day	 父亲节
beside	prep.在旁边；在附近	[bɪ'saɪd]
nearby	adj.附近的；邻近的adv.在附近；附近	[ˌnɪə'baɪ]
inexpensive	adj.不昂贵的	[ˌɪnɪk'spensɪv]
uncrowded	adj.不拥挤的；人少的	[ʌn'kraʊdɪd ]
polite	有礼貌的；客气的	[pə'laɪt]
politely	礼貌地；客气地	[pə'laɪtli]
request	要求；请求	[rɪ'kwest]
direction	方向；方位	[dɪ'rekʃ(ə)n]
correct	正确的；恰当的	[kə'rekt]
direct	直接的；	[dɪ'rekt]
impolite	adj.不礼貌的；粗鲁的	[,ɪmpə'laɪt]
address	住址；	[ə'dres]
require	需要；要求	[rɪ'kwaɪə]
examination	考试；审查	[ɪgˌzæmɪ'neɪʃn]
exactly	确切地；精确地	[ɪg'zæktli]
environmental	adj.自然环境的；有关环境的	[ɪnˌvaɪrən'mentl]
produce	生产；制造；出产	[prə'djuːs]
international	国际的	[ˌɪntə'næʃn(ə)l]
competitor	n.参赛者；竞争者	[kəm'petɪtə]
celebration	n.庆典；庆祝活动	[ˌselɪ'breɪʃn]
balloon	气球	[bə'luːn]
historical	adj.（有关）历史的	[hɪ'stɒrɪkl],[hɪ'stɔːrɪkl]
complete	完成	[kəm'pliːt]
pioneer	n.先锋；先驱	[ˌpaɪə'nɪə]
accidental	adj.意外的;偶然的	[ˌæksɪ'dentl]
popularity	n.受欢迎；普及	[ˌpɒpju'lærəti],[ˌpɑːpju'lærəti]
divide	分开；分散	[dɪ'vaɪd]
professional	adj.职业的；专业的	[prə'feʃənl]
part-time	adj.&adv.兼职（的）	[ˌpɑːt 'taɪm]
regret	感到遗憾；懊悔	[rɪ'ɡret]
make one's own decision	自己做决定
society	社会	[sə'saɪəti]
support	支持	[sə'pɔːt]
attend	出席；参加	[ə'tend]
policeman	男警察	[pə'liːsmən]
uneasy	adj.担心的；不安的	[ʌn'iːzi]
outdoors	adv.在户外；在野外	[ˌaʊt'dɔːz]
express	表示；表达	[ɪk'spres]
receive	接受；收到	[rɪ'siːv]
historian	n.历史学家；史学工作者	[hɪ'stɔːriən]
prevent	阻止；阻挠	[prɪ'vent]
position	位置；地方	[pə'zɪʃ(ə)n]
Stonehenge	巨石阵	[ˌstəʊn'hendʒ]
prefer	更喜欢	[prɪ'fɜː]
reflect	反映；映出	[rɪ'flekt]
perform	表演；执行	[pə'fɔːm]
relaxed	 adj. 放松的；自在的	[rɪ'lækst]
exchange	交换	[ɪks'tʃeɪndʒ]
go out of one's way	特地；格外努力
behave	表现；举止	[bɪ'heɪv]
except	除⋯⋯之外	[ɪk'sept]
suggestion	建议	[sə'dʒestʃ(ə)n]
examine	v（.仔细地）检查；检验	[ɪɡ'zæmɪn]
uncomfortable	adj. 使人不舒服的；令人不舒适的	[ʌn'kʌmfətəbl]
besides	 adv. 而且	[bɪ'saɪdz]
relief n.轻松；解脱	[rɪ'liːf]
agreement	（意见或看法）一致；同意	[ə'ɡriːmənt]
above	在上面；向上面prep.	[ə'bʌv]
alive	活着；有生气的	[ə'laɪv]
embarrassed	adj.窘迫的；害羞的	[ɪm'bærəst]
announce	宣布；宣告	[ə'naʊns]
spaghetti	意大利面条	[spə'geti]
discovery	发现；发觉	[dɪ'skʌvəri]
believable	adj.可相信的；可信任的	[bɪ'liːvəbl]
disappear	 v. 消失；不见	[ˌdɪsə'pɪə(r)]
embarrassing	使人害羞的（难堪的或惭愧的）	[ɪm'bærəsɪŋ]
advantage	n.优点；有利条件	[əd'vɑːntɪdʒ]
scientific	adj. 科学上的；科学的	[ˌsaɪən'tɪfɪk]
afford	承担得起（后果）；买得起	[ə'fɔːd]
recycle	回收利用；再利用	[ˌriː'saɪkl]
inspiration	灵感；鼓舞人心的人（或事物）	[ˌɪnspə'reɪʃn]
behavior	n. 行为；举止	[bɪ'heɪvjə(r)]
effect	 n. 效果；作用；影响	[ɪ'fekt]
instruction	指示；命令	[ɪn'strʌkʃn]
overcome	(overcame [ˌəʊvəˈkeɪm],overcome)v.克服；战胜 [ˌəʊvə'kʌm]
keep one's cool	沉住气；保持冷静
degree	n（.大学）学位；度数；程度	[dɪ'ɡriː]
ahead	向前面；在前面	[ə'hed]
responsible	承担责任；有责任	[rɪ'spɒnsəbl]
