Africa	n.非洲	['æfrɪkə]
certainly	adv.无疑;肯定;当然;行	['sɜːtnli]
challenge	v. & n. 挑战; 考验	['tʃælɪndʒ]
chemistry	n. 化学	['kemɪstri]
chicken	n.鸡肉	['tʃɪkɪn]
childhood	n. 童年; 幼年	['tʃaɪldhʊd]
chopstick	筷子 ['tʃɒpstɪk]
cinema	n.电影院	['sɪnəmə]
circle	圈出	['sɜːkl]
classic	n. 经典作品; 名著	['klæsɪk]
classmate	n.同班同学	['klɑːsmeɪt]
classroom	n.教室	['klɑːsruːm]
clearly	adv.清楚的;清晰地;明白的	['klɪəli]
clever	adj. 聪明的; 聪颖的	['klevə(r)]
climber	n. 登山者; 攀登者	['klaɪmə(r)]
cloudy	adj.多云的	['klaʊdi]
cm (=centimeter/ centimetre)	厘米	['sentɪmi:tə(r)]
coffee	n.咖啡	['kɒfi]
cola	 n. 可乐饮料	['kəʊlə]
college	学院;大学;高等专科学校	['kɒlɪdʒ]
color (=colour)	n.颜色	 ['kʌlə(r)]
come on	快点儿	['kʌmɒn]
comedy	n.喜剧;喜剧片	['kɒmədi]
comfortable	adj.使人舒服的;舒适的	['kʌmfətəbl]
common	adj.普通的;常见的	['kɒmən]
common	adj.普通的;常见的	['kɒmən]
company	n. 公司；商号	['kʌmpəni]
concert	n.音乐会;演奏会	['kɒnsət]
cookie	曲奇饼	['kʊki]
copy	v. 抄袭; 模仿; 复制; 复印	['kɒpi], ['kɑ:pi]
corner	n. 拐角；角落	['kɔːnə]
corner	拐角；角落	['kɔːnə]
costume	n.服装；装束	['kɒstjuːm]
cotton	n.棉；棉花	['kɒtn]
country	n.国;国家	['kʌntri]
couple	n.（尤指）夫妻; 两人; 两件事物	['kʌpl]
courage	勇敢；勇气	['kʌrɪdʒ]
cousin	n.堂(表)兄(弟、姐、妹)	['kʌzn]
cover	v.&n.遮盖;覆盖;覆盖物;盖子	['kʌvə]
crayon	n. 彩色铅笔（或粉笔、蜡笔）	['kreɪən]
crazy	adj. 不理智的; 疯狂的	['kreɪzi]
criminal	n.罪犯	['krɪmɪn(ə)l]
crispy	脆的；酥脆的	['krɪspi]
crossing	n.十字路口	['krɔːsɪŋ]
crowded	adj.人多的;拥挤的;挤满的	['kraʊdɪd]
cruel	残酷的；残忍的	['kruːəl]
culture	n.文化;文明	['kʌltʃə]
curly	adj.卷曲的	['kɜːli]
custom	风俗；习俗	['kʌstəm]
customer	n. 顾客	['kʌstəmə]
customer	顾客；客户	['kʌstəmə]
daily	每日的；日常的	['deɪli]
danger	n.危险	['deɪndʒə]
dangerous	adj.有危险的;不安全的	['deɪndʒərəs]
daughter	n.女儿	['dɔːtə]
daytime	n.白天;日间	['deɪtaɪm]
dentist	n.牙科医生	['dentɪst]
desert	n. 沙漠	['dezə(r)t]
diary	n.日记;日记簿	['daɪəri]
dictionary	n.词典;字典	['dɪkʃənri],['dɪkʃəneri]
difference	n.差别;差异	['dɪfrəns]
different	adj.不同的	['dɪfərənt]
differently	adv.不同地	['dɪfərəntli]
difficult	adj.困难的	['dɪfɪkəlt]
dinner	n.(中午或晚上吃的)正餐	['dɪnə]
dirty	adj.脏的	['dɜːti]
doctor	n.医生	['dɒktə]
dollar	n.元(美国、加拿大货币)	['dɒlə]
double	加倍；是⋯⋯的两倍	['dʌbl]
dragon	n.龙	['dræɡən]
driver	n.驾驶员;司机	['draɪvə]
dumpling	n.饺子	['dʌmplɪŋ]
during	prep.在…期间	['djʊərɪŋ]
e-mail (=email)	n.电子邮件['iːmeɪl]
early	adv.&adj.早(的)	['ɜːli]
earring	耳环；耳饰	['ɪərɪŋ]
earthquake	地震	['ɜːθkweɪk]
eastern	东方的；东部的	['iːstə(r)n]
easy	adj.容易的;不费力的	['iːzi]
educate	v.教育；教导	['edʒukeɪt]
effort	 n. 努力；尽力	['efət]
eighty	num.八十	['eɪti]
either	adv.或者;也(用在否定词组后)[ˈaɪðə(r)],['iːðə]
elbow	肘；胳膊	['elbəʊ]
elder	adj. 年纪较长的	['eldə(r)]
elephant	n.大象	['elɪfənt]
emperor	n. 国王	['empərə(r)]
empty	adj. 空的	['empti]
empty	空的；空洞的	['empti]
ending	"n.（故事、电影等的）结尾；结局"	['endɪŋ]
energy	精力；力量	['enədʒi]
enter	v. 进来；进去	['entə]
enter	进来；进去	['entə]
even	adv.甚至;连;愈加	['iːvn]
evening	n.晚上;黄昏	['iːvnɪŋ]
ever	adv.在任何时候;从不;曾经	['evə]  
every	adj.每一;每个	['evri]
everywhere	adv.处处;到处;各个地方	['evriweə(r)]
excellent	adj.极好的;优秀的	['eksələnt]
exercise	v.&n.锻炼;练习	['eksəsaɪz]
factory	n.工厂	['fæktri]
fairness	n. 公正性; 合理性	['feənəs] , ['fernəs]
fallen	adj. 倒下的; 落下的	['fɔ:lən]
family	n.家;家庭	['fæməli]
famous	adj.著名的;出名的	['feɪməs]
farmer	n.农民;农场主	['fɑːmə]
fascinating	adj. 迷人的；有极大吸引力的	['fæsɪneɪtɪŋ]
father	n.父亲;爸爸	['fɑːðə]
favorite (=favourite)adj.＆ n.特别喜爱的(人或事物)['feɪvərɪt]
festival	n.(音乐、戏剧等的)会演节;节日	['festɪvl]
fever	n.发烧	['fi:və(r)]
fiction	n. 小说	['fɪkʃn]
fifty	num.五十	['fɪfti]
figure	 n. 数字 	['fɪɡə(r)]
finally	adv.最后;最终	['faɪnəli]
finding	n. 发现；发现物；调查（或研究）的结果	['faɪndɪŋ]
finger	n. 手指	['fɪŋgə(r)]
finish	v.完成;做好	['fɪnɪʃ]
fire	n.火;火灾	['faɪə]
fisherman	渔民；钓鱼的人	['fɪʃəmən]
flower	n.花	['flaʊə]
follow	v.遵循;跟随	['fɒləʊ]
football	n. （美式）橄榄球; 足球	['fʊtbɔ:l]
forest	n.森林	['fɒrɪst]
forty	num.四十	['fɔːti]
forward	v.转寄;发送;向前;前进	['fɔːwəd]
freezing	adj. 极冷的; 冰冻的	['fri:zɪŋ]
friendly	adj.友好的	['frendli]
friendship	友谊；友情	['frendʃɪp]
funny	adj.奇怪的;滑稽好笑的	['fʌni]
future	n.将来;未来	['fjuːtʃə]
gallery	n. 画廊，美术；陈列室，美术馆；美术品	['ɡæləri]
garden	花园；园子	['gɑːdn]
general	adj. 总的；普追的；常规的 n. 将军	['dʒenərəl]
gentleman	先生	['dʒent(ə)lmən]
get up	起床;站起	['getʌp]
girlfriend	n.女朋友	['gɜːlfrend]
glasses	n.(pl.)眼睛	['glɑːsɪz]
government	n. 政府; 内阁	['gʌvə(r)nmənt]
grammar	语法	['ɡræmə]
granddaughter	（外）孙女	['ɡrændɔːtə]
grandfather	n.(外)祖父;爷爷;外公;姥爷	['ɡrænfɑːðə(r)]
grandma	n.(外)祖母;奶奶;外婆;姥姥	['ɡrænmɑː]
grandmother	n.(外)祖母;奶奶;外婆;姥姥	['ɡrænmʌðə(r)]
grandpa	n.(外)祖父;爷爷;外公;姥爷	['ɡrænpɑː]
grandparent	n.祖父(母);外祖父(母)	['ɡrænpeərənt]
grandson	n.孙子；外孙	['ɡrænsʌn]
greeting	n. 问候	['ɡriːtɪŋ]
habit	n.习惯	['hæbɪt]
hallway	n.走廊;过道	['hɔːlweɪ]
hamburger	n.汉堡包	['hæmbɜːgə]
handbag	小手提包	['hændbæɡ]
handsome	adj.英俊的	['hænsəm]
happen	v.发生;出现	['hæpən]
happening	n.事件；发生的事情（常指不寻常的）	['hæpənɪŋ]
happy	adj.愉快的;高兴的	['hæpi]
hardly	adv.几乎不;几乎没有	['hɑːdli]
harmful	有害的	['hɑːmfl]
headache	n.头痛	['hedeɪk]
headmaster	n.校长	['hed'mɑːstə]
healthy	adj.健康的	['helθi]
heavily	adv. 在很大程度上; 大量地	['hevɪli]
heavy	adj.重的	['hevi]
helpful	adj. 有用的；有帮助的	['helpfl]
hero	英雄；男主角	['hɪərəʊ]
hobby	n.业余爱好	['hɒbi]
homeless	adj.无家的	['həʊmləs]
hometown	n. 家乡; 故乡	['həʊmtaʊn]
homework	n.家庭作业	['həʊmwɜːk]
honest	adj. 诚实的; 老实的	['ɒnɪst],['ɑ:nɪst]
hospital	n.医院	['hɒspɪtl]
housewarming	n.乔迁聚会['haʊsˌwɔː(r)mɪŋ]
housework	n.家务劳动;家务事	['haʊswɜːk]
human	n.人的;人	['hjuːmən]
humorous	adj. 有幽默感的；滑稽有趣的	['hjuːmərəs]
hundred	num.一百	['hʌndrəd]
hungry	adj.饥饿的	['hʌŋgri]
hurry	v. 匆忙; 赶快	['hʌri]
husband	n. 丈夫	['hʌzbənd]
icy	adj. 覆盖着冰的; 冰冷的	['aɪsi]
illness	n. 疾病; 病	['ɪlnəs]
industry	工业；行业	['ɪndəstri]
insect	昆虫	['ɪnsekt]
interest	n. 兴趣; 关注  v. 使感兴趣; 使关注	['ɪntrəst]
interesting	adj.有趣的	['ɪntrəstɪŋ]
interview	采访；面试n.	['ɪntəvjuː]
into	prep.到……里面;进入	['ɪntuː]
iron	n. 铁	['aɪən]
island	n. 岛	['aɪlənd]
jacket	n.夹克衫;短上衣	['dʒækɪt]
journey	n.（尤指长途）旅行；行程	['dʒɜːni]
jungle	n. （热带）丛林	['dʒʌŋɡ(ə)l]
junior	adj. 地位（或职位、级别）低下的	['dʒu:niə(r)]
keeper	n. 饲养员; 保管人	['ki:pə(r)]
keyboard	琴键；键盘	['kiːbɔːd]
kg=kilogram	千克;公斤['kɪləɡræm]
kilo (=kilogram)	n. 千克; 公斤	['ki:ləʊ]
kindness	n. 仁慈; 善良	['kaɪndnəs]
kitchen	n.厨房	['kɪtʃɪn]
knowledge	知识；学问	['nɒlɪdʒ]
lady	女士；女子	['leɪdi]
language	n.语言	['læŋgwɪdʒ]
lantern	灯笼	['læntən]
lastly	adv. 最后	['lɑːstli]
lately	adv. 最近；不久前	['leɪtli]
later	adv.以后	['leɪtə]
laughter	n. 笑; 笑声	['lɑ:ftə],['læftə(r)]
lazy	adj.懒散的;懒惰的	['leɪzi]
leader	领导；领袖	['liːdə]
lemon	柠檬	['lemən]
lesson	n.课;一节课	['lesn]
letter	n. 信; 函	['letə(r)]
lettuce	n.莴苣;生菜	['letɪs]
level	标准；水平	['lev(ə)l]
library	n.图书馆	['laɪbrəri]
lifelong	adj.终身的；毕生的	['laɪflɒŋ]
lifetime	n. 一生；	['laɪftaɪm]
light	adj. 轻的	['laɪt]
lion	n.狮子	['laɪən]
listen	v.听;倾听	['lɪsn]
listener	n. 听者	['lɪsənə]
literature	n. 文学	['lɪtərətʃə]
litter	乱扔 垃圾；废弃物	['lɪtə]
little	adj.小的	['lɪtl]
lively	生气勃勃的；（色彩）鲜艳的	['laɪvli]
local	当地的；本地的	['ləʊk(ə)l]
lonely	adj. 孤独的; 寂寞的	['ləʊnli]
loudly	adv.喧闹地;大声地;响亮地	['laʊdli]
lovely	adj.可爱的	['lʌvli]
loving	adj. 爱的；充满爱的	['lʌvɪŋ]
luckily	adv.幸运地;好运地	['lʌkɪli]
lucky	adj.幸运的	['lʌki]
madam	n. 夫人; 女士（用于正式信函中对不知名的女性收信人的称呼时, 写为Madam）	['mædəm]
magic	adj. 有魔力的; 有神奇力量的	['mædʒɪk]
maker	n. 生产者; 制订者	['meɪkə(r)]
manage	完成（困难的事）；应付（困难局面）	['mænɪdʒ]
manager	经理；经营者	['mænɪdʒə]
manner	方式；方法(pl.)礼貌；礼仪	['mænə]
many	adj.&pron.许多	['meni]
market	市场；集市	['mɑːkɪt]
marry	v.结婚	['mæri]
master	能手；主人 掌握	['mɑːstə]
matter	n.问题;事情	['mætə(r)]
maybe	adv.大概;或许;可能	['meɪbi]
meaning	n.意义;意思	['miːnɪŋ]
medical	医疗的；医学的	['medɪk(ə)l]
medicine	n.药;医学[ˈmedsn],['medɪsɪn]
meeting	n.会议;集会;会面	['miːtɪŋ]
member	n. 成员; 分子	['membə(r)]
memory	n. 记忆; 回忆	['meməri]
mention	提到；说到	['menʃn]
menu	n.菜单	['menjuː]
message	n.信息;消息	['mesɪdʒ]
metal	金属	['metl]
meter (=metre)	n. 米; 公尺	['mi:tə(r)]
middle	adj.＆n.中间的;中间	['mɪdl]
midnight	n. 午夜; 子夜	['mɪdnaɪt]
million	num. 一百万	['mɪljən]
minister	大臣；部长	['mɪnɪstə] 
minute	n.分钟	['mɪnɪt]
mirror	n.镜子	['mɪrə]
model	n.模型	['mɒdl]
modern	adj. 现代的; 当代的	['mɒdn], ['mɑ:dərn]
money	n.钱	['mʌni]
mooncake	n.月饼	['mu:nkeik]
moonlight	n. 月光	['mu:nlaɪt]
morning	n.早晨;上午	['mɔːnɪŋ]
mostly	adv. 主要地; 通常	['məʊstli]
mother	adj.母亲;妈妈	['mʌðə]
movie	n.电影	['muːvi]
moving	adj. 动人的；令人感动的	['muːvɪŋ]
music	n.音乐;乐曲	['mjuːzɪk]
musical	adj.音乐的；有音乐天赋的	['mjuːzɪkl]
mutton	n.羊肉	['mʌt(ə)n]
mystery	n.奥秘；神秘事物	['mɪstri]
napkin	餐巾；餐巾纸	['næpkɪn]
national	adj. 国家的；民族的	['næʃən(ə)l]
natural	adj.自然的	['nætʃərəl]
nature	n. 自然界; 大自然	['neɪtʃə(r)]
nearly	几乎；差不多	['nɪəli]
necessary	adj.必需的;必要的	['nesəsəri]
neighbor (=neighbour)	n. 邻居	['neɪbə(r)]
neighborhood	n.街区;街坊	['neɪbəhʊd]
neither	adv. 也不	['naɪðə], ['ni:ðə(r)]
nervous	adj. 焦虑的; 担忧的	['nɜ:(r)vəs]
nervously	神经质地；焦急地；提心吊胆地['nɜ:vəsli]
never	adv.从不;绝不	['nevə]
newspaper	n.报纸	['njuːzˌpeɪpə]
ninety	num.九十	['naɪnti]
nobody	pron. 没有人n. 小人物	['nəʊbədi]
noisy	adj.吵闹的	['nɔɪzi]
noodle	n.面条	['nuːdl]
normal	adj.正常的;一般的	['nɔːm(ə)l]
northern	北方的；北部的	['nɔːðən]
nosebleed	n. 鼻出血	['nəʊzbli:d]
notebook	n.笔记本	['nəʊtbʊk]
nothing	pron.没有什么;没有一件东西 	['nʌθɪŋ]
notice	n. 通知; 通告; 注意 v. 注意到; 意识到	['nəʊtɪs]
novel	（长篇）小说	['nɒvl]
nowadays	adv. 现今; 现在; 目前	['naʊədeɪz]
number	n.号码;数字	['nʌmbə]
object	n. 物体; 物品	['ɒbdʒɪkt]，['ɑ:bdʒɪkt]
ocean	n. 大海; 海洋	['əʊʃn]
offer	v. 主动提出; 自愿给予	['ɒfə], ['ɑ:fər]
officer	n.军官；官员	['ɒfɪsə]
onion	n.洋葱	['ʌnjən]
only	adv.只;仅	['əʊnli]
open	v. 开; 打开	['əʊpən]
opera	n. 歌剧	['ɒpərə]
opposite	prep.;与......相对; 在......对面 adj. 对面的; 另一边的	['ɒpəzɪt], ['ɑ:pəzət]
orange	n. 橘子	['ɔːrɪndʒ]
order	n.&v.点菜;命令	['ɔːdə]
other	adj.&pron.另外的;其他的;另外的人(或物)	['ʌðə]
our	pron.我们的	['aʊə]
ours	我们的	['aʊəz]
outgoing	adj.爱交际的;友好的;外向的	['aʊtɡəʊɪŋ]
oven	n.烤箱;烤炉	['ʌvn]
over	prep.超过，多于;在……上方	['əʊvə]
oversleep (overslept [ˌəʊvəˈslept])v睡过头；睡得太久	['əʊvə'sliːp]
owner	n.物主；主人	['əʊnə（r）]
painful	 adj. 令人痛苦的；令人疼痛的	['peɪnfl]
painting	n.油画;绘画	['peɪntɪŋ]
pancake	n.烙饼;薄饼	['pænkeɪk]
panda	n.熊猫	['pændə]
paper	n.纸;纸张	['peɪpə]
pardon	请再说一遍；抱歉	['pɑːdn]
parent	n.父(母)亲	['peərənt]
partner	搭档；同伴	['pɑːtnə]
party	n.聚会;晚会	['pɑːti]
passage	n. 章节; 段落	['pæsɪdʒ]
passport	护照	['pɑːspɔːt]
patient	有耐心的	['peɪʃnt]
pattern	n.模式；方式	['pætn]，[pætərn]
peaceful	adj. 和平的; 安宁的	['pi:sfl]
pencil	n.铅笔	['pensl]
people	n.人;人们	['piːpl]
pepper	n.甜椒;柿子椒	['pepə]
perfect	adj. 完美的; 完全的	['pɜ:(r)fɪkt]
period	一段时间；时期	['pɪərɪəd]
person	n.人	['pɜːsn]
personal	adj.个人的;私人的	['pɜːsənl]
photo	n.照片	['fəʊtəʊ]
physical	adj.身体的	['fɪzɪk(ə)l]
physics	物理；物理学	['fɪzɪks]
picnic	野餐	['pɪknɪk]
picture	n.照片; 图画	['pɪktʃə]
pilot	n.飞行员	['paɪlət]
ping-pong	n.乒乓球	['pɪŋpɒŋ]
pity	遗憾；怜悯	['pɪti]
planet	n.行星	['plænɪt]
plastic	塑料的n.	['plæstɪk]
player	n.播放机	['pleɪə]
pleasure	高兴；愉快	['pleʒə]
poem	诗；韵文	['pəʊɪm]
poet	n. 诗人	['pəʊɪt]
popcorn	n.爆米花	['pɒpkɔːn]
popular	adj.受欢迎的;普遍的	['pɒpjʊlə]
porridge	n.粥;面糊	['pɒrɪdʒ]
possible	adj.可能存在或发生的;可能的	['pɒsəbl]
postcard	n.明信片	['pəʊstka:(r)d]
postman	邮递员	['pəʊstmən]
practice	v.&n.练习	['præktɪs]
present	n.现在，礼物;adj.现在的	['preznt]
president	负责人；主席；总统	['prezɪdənt]
pressure	n. 压力	['preʃə(r)]
pretty	adv.&adj.相当;十分;很;漂亮的	['prɪti]
primary	adj.最初的;最早的	['praɪməri]
private	adj. 私人的；私密的	['praɪvət]
probably	adv.很可能;大概	['prɒbəbli]
problem	n.困难;难题	['prɒbləm]
process	加工；处理	['prəʊses]
product	n.产品；制品	['prɒdʌkt]
programming	n. 编程	['prəʊgræmɪŋ]
progress	v.&n. 进步; 进展	['prəʊgres], ['prɑ:gres]
project	n.工程；项目	['prɒdʒekt]
promise	n.&v.承诺;诺言;许诺	['prɒmɪs]
proper	adj. 正确的; 恰当的	['prɒpə], ['prɑ:pər]
province	n. 省份	['prɒvɪns], ['prɑ:vɪns]
public	n.民众adj.公开的；公众的	['pʌblɪk]
publish	v.出版；发行	['pʌbliʃ]
punish	v.处罚；惩罚	['pʌnɪʃ]
pupil	n. 学生	['pju:pl]
purple	adj.＆n.紫色(的)	['pɜːpl]
purpose	目的；目标	['pɜːpəs]
put up	搭起;举起	['pʊt ʌp]
quarter	n.一刻钟;四分之一	['kwɔːtə]
question	n.问题	['kwestʃən]
question	v.表示疑问;怀疑;提问;质询	['kwestʃn]
quickly	adv.很快地	['kwɪkli]
quiet	adj.安静的	['kwaɪət]
quietly	adv.轻声地;轻柔地;安静地	['kwaɪətli]
rabbit	兔；野兔	['ræbɪt]
radio	n.收音机;无线电广播	['reɪdɪəʊ]
railway	n. 铁路; 铁道	['reɪlweɪ]
rainstorm	n. 暴风雨	['reɪnstɔ:(r)m]
rainy	adj.阴雨的;多雨的	['reɪni]
rapid	adj. 迅速的; 快速的	['ræpɪd]
rather	宁愿；相当	['rɑːðə]
ready	adj.愿意的;准备好的	['redi]
realize	v. 理解; 领会; 认识到	['rɪəlaɪz], ['ri:əlaɪz]
really	adv.真正地	['rɪəli]
reason	n.原因;理由	['riːz(ə)n]
recently	adv. 不久前; 最近	['ri:sntli]
record	n. 唱片; 记录['rekɔ:d], ['rekərd]v. 录制; 录（音）[rɪ'kɔ:(r)d]
regular	adj. 有规律的	['reɡjələ(r)]
relative	亲属；亲戚	['relətɪv]
river	n.河;江	['rɪvə]
robot	n.机器人	['rəʊbɒt]
rocket	n.火箭	['rɒkɪt]
rubbish	n. 垃圾; 废弃物	['rʌbɪʃ]
ruler	n.统治者；支配者	['ruːlə(r)]
ruler	n尺;直尺	['ruːlə]
sadness	n. 悲伤；悲痛	['sædnəs]
safety	安全；安全性	['seɪfti]
salad	n.沙拉	['sæləd]
sample	n. 样本；例子	['sæmplˌ'sɑːmpl]
saying	n.谚语;格言;警句	['seɪɪŋ]
scary	adj.吓人的;恐怖的	['skeəri]
schoolbag	n.书包	['skuːlˌbæg]
schoolwork	n.学校作业;功课	['skuːlwɜːk]
science	n.科学	['saɪəns]
scientist	n.科学家	['saɪəntɪst]
scissors	剪刀	['sɪzəz]
season	季；季节	['siːzn]
seaweed	n.海藻；海草	['si:wi:d]
second	num.第二	['sekənd]
secondly	adv. 第二; 其次	['sekəndli]
seldom	不常；很少	['seldəm]
sentence	句子	['sent(ə)ns]
separate	单独的；分开	['sepərət]

servant	n.仆人	['sɜːvənt]
service	n.接待;服务	['sɜːvɪs]
seven	num. 七	['sevn]
seventy	num.七十	['sevnti]
several	pron. 几个；数个；一些	['sevrəl]
shark	鲨鱼	['ʃɑːk]
shoulder	肩；肩膀	['ʃəʊldə]
